R_HMR_4652	v2162	1.3.5.1
R_HMR_6414	v2621	2.3.1.61
R_HMR_3977	v1816	3.6.1.1
R_HMR_6916	v2828	3.6.1.3
R_HMR_6916	v2828	3.6.1.5
R_HMR_6916	v2828	3.6.3.1
R_HMR_6916	v2828	3.6.3.10
R_HMR_6916	v2828	3.6.3.14
R_HMR_6916	v2828	3.6.3.8
R_HMR_6916	v2828	3.6.3.9
R_HMR_6916	v2828	3.6.4.3
R_HMR_6916	v2828	3.6.4.4
R_HMR_6916	v2828	3.6.4.6
R_HMR_6921	v2830	1.6.5.3
R_HMR_3980	v1818	1.11.1.6
R_HMR_0184	v35	6.2.1.2
R_HMR_0188	v37	6.2.1.3
R_HMR_0196	v44	6.2.1.3
R_HMR_0217	v59	6.2.1.3
R_HMR_0249	v77	6.2.1.3
R_HMR_0263	v86	6.2.1.3
R_HMR_0271	v92	6.2.1.3
R_HMR_0319	v125	6.2.1.3
R_HMR_0349	v147	6.2.1.3
R_HMR_0357	v153	6.2.1.3
R_HMR_0361	v156	6.2.1.3
R_HMR_0377	v168	6.2.1.3
R_HMR_0397	v183	6.2.1.3
R_HMR_0405	v189	6.2.1.3
R_HMR_4156	v1910	6.4.1.2
R_HMR_2212	v883	1.1.1.-
R_HMR_2265	v890	4.2.1.-
R_HMR_2268	v892	1.1.1.-
R_HMR_0709	v374	3.1.2.22
R_HMR_0709	v374	3.1.2.2
R_HMR_6397	v2612	1.8.1.4
R_HMR_6401	v2614	2.3.1.181
R_HMR_6402	v2615	2.3.1.181
R_HMR_2472	v972	1.14.19.3
R_HMR_2583	v1010	5.3.99.3
R_HMR_2368	v939	1.14.19.3
R_HMR_0959	v473	1.13.11.34
R_HMR_0983	v484	1.13.11.33
R_HMR_0985	v486	1.13.11.33
R_HMR_1014	v491	1.13.11.34
R_HMR_1140	v523	1.14.13.30
R_HMR_1166	v535	1.1.1.35
R_HMR_1209	v563	1.1.1.35
R_HMR_1210	v564	2.3.1.16
R_HMR_1230	v581	1.3.1.-
R_HMR_1264	v600	6.2.1.3
R_HMR_1266	v602	6.2.1.3
R_HMR_0260	v84	3.1.2.2
R_HMR_0410	v193	3.1.2.2
R_HMR_2593	v1012	2.3.1.7
R_HMR_3034	v1253	2.3.1.137
R_HMR_3088	v1286	1.1.1.35
R_HMR_3088	v1286	1.1.1.211
R_HMR_3488	v1563	1.2.1.48
R_HMR_3498	v1565	1.3.3.6
R_HMR_3246	v1411	1.1.1.211
R_HMR_3246	v1411	1.1.1.35
R_HMR_3228	v1394	1.1.1.211
R_HMR_3228	v1394	1.1.1.35
R_HMR_1182	v548	4.2.1.17
R_HMR_1225	v577	1.1.1.35
R_HMR_2003	v770	1.1.1.213
R_HMR_1976	v766	1.3.99.5
R_HMR_1977	v767	1.3.99.5
R_HMR_2015	v771	1.3.99.5
R_HMR_1496	v640	1.1.1.170
R_HMR_1553	v668	5.3.3.5
R_HMR_1577	v674	4.1.3.4
R_HMR_2043	v788	1.14.14.1
R_HMR_2048	v791	2.1.1.6
R_HMR_2054	v794	1.14.14.1
R_HMR_2059	v796	2.1.1.6
R_HMR_2068	v800	2.5.1.18
R_HMR_2083	v810	2.5.1.18
R_HMR_2084	v811	2.5.1.18
R_HMR_2085	v812	2.5.1.18
R_HMR_2086	v813	2.5.1.18
R_HMR_2095	v818	2.5.1.18
R_HMR_2096	v819	2.5.1.18
R_HMR_2097	v820	2.5.1.18
R_HMR_2098	v821	2.5.1.18
R_HMR_3540	v1596	3.1.1.13
R_HMR_3589	v1606	3.1.1.13
R_HMR_3643	v1627	2.3.1.26
R_HMR_3671	v1655	2.3.1.26
R_HMR_3672	v1656	2.3.1.26
R_HMR_3683	v1667	2.3.1.26
R_HMR_0735	v377	2.7.8.27
R_HMR_0736	v378	2.7.8.27
R_HMR_0758	v386	2.3.1.24
R_HMR_0761	v388	2.4.1.80
R_HMR_0766	v391	3.2.1.23
R_HMR_0456	v218	1.2.1.3
R_HMR_0459	v221	1.2.1.3
R_HMR_0501	v246	2.3.1.15
R_HMR_0538	v283	2.3.1.15
R_HMR_0596	v317	3.1.3.4
R_HMR_0676	v361	2.7.1.94
R_HMR_4296	v1982	4.2.3.2
R_HMR_0478	v226	1.1.1.94
R_HMR_0479	v227	1.1.1.8
R_HMR_0481	v228	1.1.1.8
R_HMR_0589	v311	2.3.1.51
R_HMR_0594	v316	2.3.1.51
R_HMR_0627	v332	4.1.1.65
R_HMR_0630	v334	3.1.1.4
R_HMR_0635	v338	3.1.4.2
R_HMR_0636	v339	2.7.1.32
R_HMR_0648	v347	2.7.1.82
R_HMR_7612	v3281	3.1.1.47
R_HMR_0816	v416	2.4.1.62
R_HMR_0828	v423	3.2.1.52
R_HMR_0830	v425	3.2.1.23
R_HMR_0837	v430	2.4.99.4
R_HMR_0843	v434	2.4.1.62
R_HMR_0844	v435	2.4.99.4
R_HMR_0853	v441	2.4.99.8
R_HMR_0856	v444	2.4.1.92
R_HMR_0803	v405	3.2.1.22
R_HMR_0811	v412	3.2.1.49
R_HMR_0814	v414	2.4.99.8
R_HMR_0860	v447	2.4.1.86
R_HMR_0864	v448	2.4.1.69
R_HMR_0866	v450	2.4.1.69
R_HMR_0884	v453	2.4.1.40
R_HMR_0886	v455	2.4.1.69
R_HMR_0891	v458	2.4.1.149
R_HMR_0891	v458	2.4.1.-
R_HMR_0898	v459	2.4.1.69
R_HMR_0904	v462	2.4.1.69
R_HMR_0908	v465	2.4.1.69
R_HMR_0924	v469	2.4.1.-
R_HMR_0925	v470	2.4.1.-
R_HMR_1308	v609	5.3.99.4
R_HMR_1326	v612	1.1.1.188
R_HMR_1329	v614	1.1.1.188
R_HMR_7207	v2987	2.4.1.223
R_HMR_7520	v3224	2.4.1.175
R_HMR_7520	v3224	2.4.1.226
R_HMR_7505	v3212	3.2.1.31
R_HMR_7517	v3221	3.1.6.13
R_HMR_7562	v3258	3.2.1.31
R_HMR_7227	v3002	3.10.1.1
R_HMR_7335	v3056	2.4.99.6
R_HMR_7458	v3169	3.1.6.14
R_HMR_7487	v3195	3.1.6.14
R_HMR_1609	v686	1.1.1.161
R_HMR_1662	v705	3.1.2.2
R_HMR_1663	v706	3.1.2.2
R_HMR_1682	v713	1.14.13.15
R_HMR_1813	v743	1.1.1.-
R_HMR_3799	v1746	3.1.2.2
R_HMR_3908	v1792	1.13.11.20
R_HMR_3911	v1794	1.8.1.3
R_HMR_4228	v1954	1.13.11.6
R_HMR_4271	v1972	1.6.1.1
R_HMR_4271	v1972	1.6.1.2
R_HMR_4058	v1856	2.7.1.24
R_HMR_4733	v2212	4.1.1.36
R_HMR_0663	v350	3.1.4.3
R_HMR_0663	v350	4.6.1.13
R_HMR_4308	v1987	5.5.1.4
R_HMR_6542	v2694	2.7.1.137
R_HMR_6543	v2695	3.1.3.64
R_HMR_6544	v2696	2.7.1.150
R_HMR_6546	v2698	2.7.1.67
R_HMR_6547	v2699	3.1.3.-
R_HMR_6548	v2700	2.7.1.154
R_HMR_6549	v2701	3.1.3.66
R_HMR_6551	v2702	2.7.1.68
R_HMR_6552	v2703	3.1.3.36
R_HMR_6553	v2704	3.1.3.78
R_HMR_6554	v2705	2.7.1.149
R_HMR_6555	v2706	2.7.1.153
R_HMR_6557	v2707	3.1.3.-
R_HMR_6579	v2716	2.7.1.68
R_HMR_6583	v2718	3.1.3.-
R_HMR_6583	v2718	3.1.3.67
R_HMR_6587	v2720	2.7.1.137
R_HMR_6591	v2721	3.1.3.-
R_HMR_6595	v2723	2.7.1.68
R_HMR_3923	v1798	1.8.1.4
R_HMR_3923	v1798	2.1.2.10
R_HMR_4333	v1998	1.5.1.3
R_HMR_4338	v2001	3.5.4.9
R_HMR_4338	v2001	6.3.4.3
R_HMR_4503	v2088	3.5.4.9
R_HMR_4655	v2164	1.5.1.3
R_HMR_8144	v3425	1.5.1.5
R_HMR_4162	v1914	3.5.4.16
R_HMR_4163	v1915	4.2.3.12
R_HMR_4817	v2253	3.5.4.16
R_HMR_4748	v2223	4.2.1.75
R_HMR_4758	v2230	4.99.1.1
R_HMR_4772	v2233	4.1.1.37
R_HMR_6631	v2743	1.1.1.1
R_HMR_6631	v2743	1.1.1.105
R_HMR_6644	v2749	1.1.1.105
R_HMR_6647	v2751	1.2.1.36
R_HMR_6652	v2753	1.2.1.36
R_HMR_6511	v2677	1.5.1.30
R_HMR_4537	v2100	1.14.16.4
R_HMR_8616	v3555	2.5.1.17
R_HMR_4064	v1860	3.1.3.74
R_HMR_4068	v1863	2.7.1.35
R_HMR_2115	v833	1.14.13.-
R_HMR_2138	v838	1.14.-.-
R_HMR_6428	v2631	1.14.13.30
R_HMR_6453	v2649	1.1.1.35
R_HMR_6453	v2649	1.3.3.6
R_HMR_6453	v2649	2.3.1.154
R_HMR_6453	v2649	2.3.1.16
R_HMR_6453	v2649	3.1.2.2
R_HMR_6453	v2649	4.2.1.17
R_HMR_6453	v2649	5.1.99.4
R_HMR_6453	v2649	6.2.1.-
R_HMR_6992	v2874	1.14.14.1
R_HMR_6995	v2877	2.5.1.18
R_HMR_7003	v2885	2.5.1.18
R_HMR_7005	v2887	1.3.1.20
R_HMR_7013	v2888	2.5.1.18
R_HMR_7023	v2893	3.3.2.9
R_HMR_7029	v2899	2.5.1.18
R_HMR_7033	v2901	1.14.14.1
R_HMR_7050	v2911	2.5.1.18
R_HMR_7066	v2921	2.4.1.17
R_HMR_9501	v3843	1.6.2.4
R_HMR_5295	v2429	3.6.3.9
R_HMR_0483	v230	1.1.5.3
R_HMR_0483	v230	1.1.99.5
R_HMR_4101	v1880	4.1.1.32
R_HMR_4040	v1849	1.1.1.205
R_HMR_4453	v2060	6.3.4.1
R_HMR_4501	v2087	2.2.1.1
R_HMR_4097	v1878	6.2.1.1
