R_HMR_7326	v3352	2.4.1.144
R_HMR_7328	v3354	2.4.1.155
R_HMR_5407	v2677	4.2.1.1
R_HMR_4084	v2036	3.1.3.7
R_HMR_4187	v2101	3.1.3.7
R_HMR_4112	v2049	1.1.1.42
R_HMR_4139	v2070	1.1.1.37
R_HMR_4141	v2071	1.1.1.37
R_HMR_4145	v2073	2.3.3.1
R_HMR_4145	v2073	2.3.3.3
R_HMR_4147	v2074	6.2.1.4
R_HMR_4149	v2075	2.3.3.8
R_HMR_4152	v2076	6.2.1.5
R_HMR_4408	v2212	4.2.1.2
R_HMR_4410	v2213	4.2.1.2
R_HMR_4454	v2239	4.2.1.3
R_HMR_4456	v2240	4.2.1.3
R_HMR_4458	v2241	4.2.1.3
R_HMR_4465	v2245	1.1.1.79
R_HMR_4465	v2245	1.1.1.81
R_HMR_4588	v2312	1.1.1.42
R_HMR_4652	v2352	1.3.5.1
R_HMR_5294	v2629	4.1.3.6
R_HMR_5297	v2631	1.2.4.2
R_HMR_6411	v2870	1.2.4.2
R_HMR_3975	v1979	3.6.1.1
R_HMR_3977	v1980	3.6.1.1
R_HMR_6912	v3099	3.6.1.1
R_HMR_6914	v3100	1.9.3.1
R_HMR_6916	v3101	3.6.1.3
R_HMR_6916	v3101	3.6.1.5
R_HMR_6916	v3101	3.6.3.1
R_HMR_6916	v3101	3.6.3.10
R_HMR_6916	v3101	3.6.3.14
R_HMR_6916	v3101	3.6.3.8
R_HMR_6916	v3101	3.6.3.9
R_HMR_6916	v3101	3.6.4.3
R_HMR_6916	v3101	3.6.4.4
R_HMR_6916	v3101	3.6.4.6
R_HMR_6918	v3102	1.10.2.2
R_HMR_6921	v3103	1.6.5.3
R_HMR_3960	v1972	1.15.1.1
R_HMR_3980	v1982	1.11.1.6
R_HMR_3982	v1983	1.11.1.6
R_HMR_0196	v52	6.2.1.3
R_HMR_0213	v64	6.2.1.3
R_HMR_0226	v70	6.2.1.3
R_HMR_0255	v88	6.2.1.3
R_HMR_0263	v94	6.2.1.3
R_HMR_0357	v161	6.2.1.3
R_HMR_0361	v164	6.2.1.3
R_HMR_0397	v191	6.2.1.3
R_HMR_2173	v919	2.3.1.85
R_HMR_2173	v919	2.3.1.41
R_HMR_4156	v2077	6.4.1.2
R_HMR_2287	v991	1.14.19.1
R_HMR_2151	v897	2.3.1.85
R_HMR_2172	v918	3.1.2.14
R_HMR_2172	v918	3.1.2.21
R_HMR_2472	v1064	1.14.19.3
R_HMR_2510	v1080	1.3.3.6
R_HMR_2583	v1101	5.3.99.3
R_HMR_2371	v1034	2.3.1.-
R_HMR_0959	v508	1.13.11.34
R_HMR_1093	v541	1.13.11.31
R_HMR_1093	v541	1.13.11.34
R_HMR_1134	v557	1.2.1.3
R_HMR_1138	v558	1.14.13.30
R_HMR_1171	v575	3.1.2.2
R_HMR_1211	v601	2.3.1.16
R_HMR_1229	v616	1.3.1.-
R_HMR_1233	v620	1.1.1.184
R_HMR_1237	v624	1.14.13.30
R_HMR_1246	v632	1.1.1.184
R_HMR_0189	v46	3.1.2.2
R_HMR_0223	v68	3.1.2.2
R_HMR_0238	v77	3.1.2.2
R_HMR_0250	v86	3.1.2.2
R_HMR_0260	v92	3.1.2.2
R_HMR_0272	v101	3.1.2.2
R_HMR_0350	v156	3.1.2.2
R_HMR_0366	v168	3.1.2.2
R_HMR_0378	v177	3.1.2.2
R_HMR_0406	v198	3.1.2.2
R_HMR_0410	v201	3.1.2.2
R_HMR_2599	v1109	2.3.1.21
R_HMR_2742	v1232	2.3.1.21
R_HMR_2653	v1150	2.3.1.7
R_HMR_2766	v1249	2.3.1.7
R_HMR_3030	v1402	2.3.1.7
R_HMR_2830	v1277	2.3.1.7
R_HMR_2832	v1279	2.3.1.7
R_HMR_2834	v1281	2.3.1.7
R_HMR_2876	v1302	2.3.1.7
R_HMR_2879	v1305	2.3.1.7
R_HMR_2905	v1315	2.3.1.7
R_HMR_2908	v1317	2.3.1.7
R_HMR_2912	v1320	2.3.1.21
R_HMR_2924	v1328	2.3.1.21
R_HMR_2926	v1329	2.3.1.7
R_HMR_2927	v1330	2.3.1.21
R_HMR_0668	v367	3.1.1.3
R_HMR_0669	v368	3.1.1.3
R_HMR_3482	v1713	6.2.1.24
R_HMR_3488	v1716	1.2.1.48
R_HMR_3508	v1723	4.2.1.17
R_HMR_3247	v1568	2.3.1.16
R_HMR_3279	v1581	2.3.1.16
R_HMR_1176	v578	1.3.1.34
R_HMR_1183	v585	1.1.1.35
R_HMR_1224	v612	4.2.1.17
R_HMR_6905	v3092	2.1.1.114
R_HMR_7166	v3235	2.5.1.58
R_HMR_1920	v802	3.1.6.2
R_HMR_1958	v814	4.1.2.30
R_HMR_1495	v674	1.1.1.170
R_HMR_1533	v687	1.3.1.72
R_HMR_2038	v841	3.1.6.1
R_HMR_2043	v844	1.14.14.1
R_HMR_2048	v847	2.1.1.6
R_HMR_2054	v850	1.14.14.1
R_HMR_2059	v852	2.1.1.6
R_HMR_2084	v867	2.5.1.18
R_HMR_2085	v868	2.5.1.18
R_HMR_2086	v869	2.5.1.18
R_HMR_2096	v874	2.5.1.18
R_HMR_2097	v875	2.5.1.18
R_HMR_2098	v876	2.5.1.18
R_HMR_3643	v1780	2.3.1.26
R_HMR_0746	v401	3.1.3.4
R_HMR_0746	v401	3.1.3.-
R_HMR_0750	v403	2.3.1.24
R_HMR_0754	v405	1.14.-.-
R_HMR_0754	v405	1.3.1.-
R_HMR_0766	v411	3.2.1.23
R_HMR_0773	v414	2.7.1.91
R_HMR_0795	v423	3.1.4.12
R_HMR_0453	v225	1.1.1.1
R_HMR_0453	v225	1.1.1.2
R_HMR_0453	v225	1.1.1.21
R_HMR_0453	v225	1.1.1.72
R_HMR_0459	v229	1.2.1.3
R_HMR_0493	v248	2.3.1.15
R_HMR_0526	v281	2.3.1.15
R_HMR_0534	v289	2.3.1.15
R_HMR_0596	v327	3.1.3.4
R_HMR_0478	v236	1.1.1.94
R_HMR_0479	v237	1.1.1.8
R_HMR_0481	v238	1.1.1.8
R_HMR_0482	v239	1.1.5.3
R_HMR_0599	v330	3.1.3.4
R_HMR_0627	v343	4.1.1.65
R_HMR_0629	v344	3.1.4.4
